Weekday_Check,service,year,month_year,CBD_Check,trips,trip_miles,trip_time,monthly_trips,monthly_miles,monthly_time
Weekday,Yellow Taxi,2019,Jan-19,CBD,4137933,11489762.28,1339914.17,179910,499555,58257
Weekday,Green Taxi,2019,Jan-19,CBD,40775,300410.16,40354.45,1773,13061,1755
Weekday,HVFHV,2019,Feb-19,CBD,5519820,27549051.89,2009029.842,275991,1377453,100451
Weekday,Yellow Taxi,2019,Feb-19,CBD,3754166,10723608.64,1331634.68,187708,536180,66582
Weekday,Green Taxi,2019,Feb-19,CBD,35737,271160.08,39801.61,1787,13558,1990
Weekday,Yellow Taxi,2019,Mar-19,CBD,4049426,11754362.19,1484534.58,192830,559732,70692
Weekday,Green Taxi,2019,Mar-19,CBD,34505,259414.15,37362.35,1643,12353,1779
Weekday,HVFHV,2019,Mar-19,CBD,5835604,29970868.3,2193424.824,277886,1427184,104449
Weekday,Yellow Taxi,2019,Apr-19,CBD,4108110,12049385.41,1597803.77,186732,547699,72627
Weekday,Green Taxi,2019,Apr-19,CBD,33124,227821.81,29318.8,1506,10356,1333
Weekday,HVFHV,2019,Apr-19,CBD,5784715,29720746.37,2190700.29,262942,1350943,99577
Weekday,Yellow Taxi,2019,May-19,CBD,4176687,12465255.54,1723964.17,181595,541968,74955
Weekday,Green Taxi,2019,May-19,CBD,30232,201542.05,23336.41,1314,8763,1015
Weekday,HVFHV,2019,May-19,CBD,6071292,31714303.03,2433203.704,263969,1378883,105791
Weekday,HVFHV,2019,Jun-19,CBD,5211431,26876554.77,2089607.764,260572,1343828,104480
Weekday,Yellow Taxi,2019,Jun-19,CBD,3560263,10521622.02,1447590.6,178013,526081,72380
Weekday,Green Taxi,2019,Jun-19,CBD,25710,166081.66,17993.25,1286,8304,900
Weekday,HVFHV,2019,Jul-19,CBD,5661223,28585936.08,2142063.068,246140,1242867,93133
Weekday,Yellow Taxi,2019,Jul-19,CBD,3647105,10525397.46,1367794.22,158570,457626,59469
Weekday,Green Taxi,2019,Jul-19,CBD,26505,170084.8,20501.01,1152,7395,891
Weekday,HVFHV,2019,Aug-19,CBD,5394044,28035717.66,2019750.155,245184,1274351,91807
Weekday,Yellow Taxi,2019,Aug-19,CBD,3400623,9901651.09,1326494.87,154574,450075,60295
Weekday,Green Taxi,2019,Aug-19,CBD,26352,175784.49,24063.91,1198,7990,1094
Weekday,Yellow Taxi,2019,Sep-19,CBD,3424476,10211152.3,1408572.01,163070,486245,67075
Weekday,Green Taxi,2019,Sep-19,CBD,25647,178238.46,25626.46,1221,8488,1220
Weekday,HVFHV,2019,Sep-19,CBD,5280230,28063502.57,2127155.49,251440,1336357,101293
Weekday,Yellow Taxi,2019,Oct-19,CBD,3968266,11632265.17,1590113.51,172533,505751,69135
Weekday,Green Taxi,2019,Oct-19,CBD,30108,209954.9,29147.56,1309,9128,1267
Weekday,HVFHV,2019,Oct-19,CBD,6030583,31520888.6,2385521.084,262199,1370473,103718
Weekday,HVFHV,2019,Nov-19,CBD,5440159,28661689.82,2140575.185,259055,1364842,101932
Weekday,Yellow Taxi,2019,Nov-19,CBD,3521245,10162821.03,1359475.55,167678,483944,64737
Weekday,Green Taxi,2019,Nov-19,CBD,26122,145683.81,24517.01,1244,6937,1167
Weekday,HVFHV,2019,Dec-19,CBD,5549029,28609922.18,2196081.131,252229,1300451,99822
Weekday,Yellow Taxi,2019,Dec-19,CBD,3570087,10361480.38,1389477.47,162277,470976,63158
Weekday,Green Taxi,2019,Dec-19,CBD,25273,239534.63,24983.46,1149,10888,1136
Weekday,Yellow Taxi,2020,Jan-20,CBD,3511780,10048523.35,1219702.59,152686,436892,53031
Weekday,Green Taxi,2020,Jan-20,CBD,28343,196039.73,29765.79,1232,8523,1294
Weekday,HVFHV,2020,Jan-20,CBD,5472951,28162225.5,1897751.472,237954,1224445,82511
Weekday,HVFHV,2020,Feb-20,CBD,5431099,27877451.68,1960521.26,271555,1393873,98026
Weekday,Yellow Taxi,2020,Feb-20,CBD,3300949,9175702.41,1109366.65,165047,458785,55468
Weekday,Green Taxi,2020,Feb-20,CBD,23522,168554.52,21477.01,1176,8428,1074
Weekday,Yellow Taxi,2020,Mar-20,CBD,1607241,5044095.59,457435.96,73056,229277,20793
Weekday,Green Taxi,2020,Mar-20,CBD,13191,197406.6,11847.2,600,8973,539
Weekday,HVFHV,2020,Mar-20,CBD,2915597,15633562.14,1037714.097,132527,710616,47169
Weekday,Yellow Taxi,2020,Apr-20,CBD,102278,308870.04,17058.38,4649,14040,775
Weekday,Green Taxi,2020,Apr-20,CBD,2272,17514.86,2034.13,103,796,92
Weekday,HVFHV,2020,Apr-20,CBD,508168,3135142.285,142232.8358,23099,142506,6465
Weekday,HVFHV,2020,May-20,CBD,702077,4273316.678,213826.2806,33432,203491,10182
Weekday,Yellow Taxi,2020,May-20,CBD,141064,619581.19,49519.61,6717,29504,2358
Weekday,Green Taxi,2020,May-20,CBD,4211,167862.86,5639.21,201,7993,269
Weekday,HVFHV,2020,Jun-20,CBD,1092820,6418770.875,361761.2503,49674,291762,16444
Weekday,Yellow Taxi,2020,Jun-20,CBD,257612,851390.43,62967.12,11710,38700,2862
Weekday,Green Taxi,2020,Jun-20,CBD,4884,548144.25,6223.91,222,24916,283
Weekday,HVFHV,2020,Jul-20,CBD,1699573,9088043.132,548576.4219,73894,395132,23851
Weekday,Yellow Taxi,2020,Jul-20,CBD,402025,1254405.02,83671.26,17479,54539,3638
Weekday,Green Taxi,2020,Jul-20,CBD,5723,309841.5,7353.73,249,13471,320
Weekday,HVFHV,2020,Aug-20,CBD,1860130,9816673.231,626426.8297,88578,467461,29830
Weekday,Yellow Taxi,2020,Aug-20,CBD,470471,1727036.07,94539.4,22403,82240,4502
Weekday,Green Taxi,2020,Aug-20,CBD,5597,66565.06,8348.31,267,3170,398
Weekday,HVFHV,2020,Sep-20,CBD,2321607,11896126.71,787490.0022,105528,540733,35795
Weekday,Yellow Taxi,2020,Sep-20,CBD,662382,2212822.39,110233.03,30108,100583,5011
Weekday,Green Taxi,2020,Sep-20,CBD,5925,47678.86,8767.75,269,2167,399
Weekday,Yellow Taxi,2020,Oct-20,CBD,809656,2228563.33,129453.96,36803,101298,5884
Weekday,HVFHV,2020,Oct-20,CBD,2689808,13040257.88,893820.4436,122264,592739,40628
Weekday,Green Taxi,2020,Oct-20,CBD,6191,243770.38,9127.89,281,11080,415
Weekday,HVFHV,2020,Nov-20,CBD,2201051,11007570.33,721813.8831,104812,524170,34372
Weekday,Green Taxi,2020,Nov-20,CBD,5754,369157.98,8300.55,274,17579,395
Weekday,Yellow Taxi,2020,Nov-20,CBD,711649,2023900.36,108406.37,33888,96376,5162
Weekday,HVFHV,2020,Dec-20,CBD,2170799,11056988.4,717457.8753,94383,480739,31194
Weekday,Yellow Taxi,2020,Dec-20,CBD,721650,3075927.84,114423.42,31376,133736,4975
Weekday,Green Taxi,2020,Dec-20,CBD,5211,160262.09,7674.69,227,6968,334
Weekday,HVFHV,2021,Jan-21,CBD,2039065,10214032.23,618660.5539,97098,486382,29460
Weekday,Yellow Taxi,2021,Jan-21,CBD,625776,2029792.57,105119.78,29799,96657,5006
Weekday,Green Taxi,2021,Jan-21,CBD,4962,184520.36,7666.08,236,8787,365
